City,desktop,mobile,tablet,Total,Per_Desk,Per_Mobile,Per_Tablet
Myrtle Grove,0,2,0,2,0,1,0
New Bern,0,1,1,2,0,0.5,0.5
Newnan,0,2,0,2,0,1,0
North Charleston,0,2,0,2,0,1,0
Oranjestad,0,1,1,2,0,0.5,0.5
Overland Park,2,0,0,2,1,0,0
Peekskill,1,1,0,2,0.5,0.5,0
Phillipsburg,2,0,0,2,1,0,0
Poughkeepsie,0,2,0,2,0,1,0
Providence,1,1,0,2,0.5,0.5,0
Roanoke,0,2,0,2,0,1,0
Saint-Brieuc,1,1,0,2,0.5,0.5,0
San Diego,0,2,0,2,0,1,0
Saxapahaw,0,0,2,2,0,0,1
Senatobia,0,1,1,2,0,0.5,0.5
St. Louis,0,2,0,2,0,1,0
Stafford,0,1,1,2,0,0.5,0.5
Suitland-Silver Hill,1,1,0,2,0.5,0.5,0
Tyler,0,2,0,2,0,1,0
Upper Marlboro,2,0,0,2,1,0,0
Waco,1,1,0,2,0.5,0.5,0
Whittier,2,0,0,2,1,0,0
Addis,0,1,0,1,0,1,0
Allentown,0,1,0,1,0,1,0
Anderson,0,1,0,1,0,1,0
Angier,0,1,0,1,0,1,0
Ann Arbor,0,1,0,1,0,1,0
Antigo,1,0,0,1,1,0,0
Asheville,0,1,0,1,0,1,0
Athens,0,1,0,1,0,1,0
Augusta,0,1,0,1,0,1,0
Baltimore,1,0,0,1,1,0,0
Bay Minette,1,0,0,1,1,0,0
Bay Saint Louis,1,0,0,1,1,0,0
Belhaven,1,0,0,1,1,0,0
Bellingham,0,1,0,1,0,1,0
Bennettsville,0,0,1,1,0,0,1
Benson,1,0,0,1,1,0,0
Berkeley,1,0,0,1,1,0,0
Boulder,0,0,1,1,0,0,1
Bowie,0,1,0,1,0,1,0
Branson,0,1,0,1,0,1,0
Brentwood,1,0,0,1,1,0,0
Bristol,0,1,0,1,0,1,0
Buena Park,0,1,0,1,0,1,0
Buies Creek,1,0,0,1,1,0,0
Camp Springs,0,1,0,1,0,1,0
Candler,0,1,0,1,0,1,0
Canonsburg,1,0,0,1,1,0,0
Cape Girardeau,0,1,0,1,0,1,0
Carolina Forest,0,1,0,1,0,1,0
Carolina Shores,0,0,1,1,0,0,1
Catonsville,0,1,0,1,0,1,0
Cedar Rapids,1,0,0,1,1,0,0
Chandler,0,1,0,1,0,1,0
Chattanooga,0,1,0,1,0,1,0
Chester,0,1,0,1,0,1,0
Churchville,1,0,0,1,1,0,0
Clemmons,0,1,0,1,0,1,0
Clemson,0,1,0,1,0,1,0
Cleveland,1,0,0,1,1,0,0
Colonial Heights,0,1,0,1,0,1,0
Conyers,0,1,0,1,0,1,0
Cumming,0,1,0,1,0,1,0
Dale City,1,0,0,1,1,0,0
Daphne,0,1,0,1,0,1,0
DeFuniak Springs,0,1,0,1,0,1,0
Destin,0,1,0,1,0,1,0
Dubai,0,1,0,1,0,1,0
Duck,0,0,1,1,0,0,1
Duluth,0,1,0,1,0,1,0
East Orange,0,1,0,1,0,1,0
East Point,0,1,0,1,0,1,0
Easton,1,0,0,1,1,0,0
El Paso,0,1,0,1,0,1,0
Elizabeth City,0,1,0,1,0,1,0
Fairhope,1,0,0,1,1,0,0
Fairmont,0,1,0,1,0,1,0
Farmville,0,1,0,1,0,1,0
Flint Township,0,1,0,1,0,1,0
Florence,0,1,0,1,0,1,0
Fort Bragg,0,1,0,1,0,1,0
Frankfort,0,1,0,1,0,1,0
Franklinton,0,1,0,1,0,1,0
Gainesville,1,0,0,1,1,0,0
Gatesville,1,0,0,1,1,0,0
Gatlinburg,0,0,1,1,0,0,1
Geneseo,1,0,0,1,1,0,0
Glen Allen,0,1,0,1,0,1,0
Gloucester Point,0,0,1,1,0,0,1
Greer,0,0,1,1,0,0,1
Harleysville,0,1,0,1,0,1,0
Hartford,0,1,0,1,0,1,0
Hialeah,0,1,0,1,0,1,0
High Wycombe,0,1,0,1,0,1,0
Hinesville,1,0,0,1,1,0,0
Hiram,0,1,0,1,0,1,0
Holly Ridge,0,1,0,1,0,1,0
Hollywood,0,0,1,1,0,0,1
Honolulu,0,0,1,1,0,0,1
Hope Mills,0,0,1,1,0,0,1
Huntington,0,0,1,1,0,0,1
Indianapolis,0,1,0,1,0,1,0
Indore,0,1,0,1,0,1,0
Irving,1,0,0,1,1,0,0
Iwakuni,0,1,0,1,0,1,0
Jasper,0,1,0,1,0,1,0
Jersey City,0,1,0,1,0,1,0
Johnson City,0,1,0,1,0,1,0
Kamloops,0,1,0,1,0,1,0
Kenner,0,1,0,1,0,1,0
Kettering,1,0,0,1,1,0,0
Kilgore,0,1,0,1,0,1,0
Kill Devil Hills,0,1,0,1,0,1,0
Kittrell,0,1,0,1,0,1,0
Kokomo,0,1,0,1,0,1,0
LaGrange,0,1,0,1,0,1,0
Lake City,0,1,0,1,0,1,0
Lancaster,0,1,0,1,0,1,0
Lawrenceville,0,1,0,1,0,1,0
Leesburg,1,0,0,1,1,0,0
Lexington,0,1,0,1,0,1,0
Ligonier,1,0,0,1,1,0,0
Lititz,1,0,0,1,1,0,0
Loganville,0,1,0,1,0,1,0
London,0,1,0,1,0,1,0
Lorton,0,0,1,1,0,0,1
Lusaka,0,1,0,1,0,1,0
Madison,0,1,0,1,0,1,0
Manning,0,1,0,1,0,1,0
Marine Corps Air Station Cherry Point,0,1,0,1,0,1,0
Marlboro,0,0,1,1,0,0,1
Mayfield,0,1,0,1,0,1,0
McDonough,0,1,0,1,0,1,0
McGaheysville,0,0,1,1,0,0,1
Mesquite,0,1,0,1,0,1,0
Millington,0,1,0,1,0,1,0
Missouri City,0,1,0,1,0,1,0
Monessen,0,0,1,1,0,0,1
Monroe,1,0,0,1,1,0,0
Montclair,0,0,1,1,0,0,1
Montego Bay,0,1,0,1,0,1,0
Montgomery,0,1,0,1,0,1,0
Mount Pleasant,0,0,1,1,0,0,1
Mountville,0,0,1,1,0,0,1
New Caney,0,1,0,1,0,1,0
New Castle,0,1,0,1,0,1,0
New Kensington,1,0,0,1,1,0,0
North Plainfield,1,0,0,1,1,0,0
Norwalk,0,0,1,1,0,0,1
Oak Harbor,0,1,0,1,0,1,0
Oak Island,1,0,0,1,1,0,0
Oakland,0,1,0,1,0,1,0
Oakton,0,1,0,1,0,1,0
Okaloosa Island,0,1,0,1,0,1,0
Olathe,0,0,1,1,0,0,1
Omaha,0,0,1,1,0,0,1
Ontario,0,1,0,1,0,1,0
Orangeburg,1,0,0,1,1,0,0
Otto,1,0,0,1,1,0,0
Oviedo,1,0,0,1,1,0,0
Palmetto Bay,0,1,0,1,0,1,0
Panama City,0,1,0,1,0,1,0
Phelan,1,0,0,1,1,0,0
Phenix City,0,1,0,1,0,1,0
Pinellas Park,0,1,0,1,0,1,0
Pinetown,1,0,0,1,1,0,0
Pittsburg,0,1,0,1,0,1,0
Plano,0,1,0,1,0,1,0
Plymouth Meeting,1,0,0,1,1,0,0
Pompano Beach,0,1,0,1,0,1,0
Pontotoc,0,1,0,1,0,1,0
Port Wentworth,1,0,0,1,1,0,0
Raeford,0,1,0,1,0,1,0
Rahway,0,1,0,1,0,1,0
Redan,0,1,0,1,0,1,0
Redmond,0,1,0,1,0,1,0
Reston,0,1,0,1,0,1,0
Reynoldsburg,0,1,0,1,0,1,0
Richlands,0,1,0,1,0,1,0
Richmond Hill,0,1,0,1,0,1,0
Roodepoort,0,1,0,1,0,1,0
Rosenberg,0,0,1,1,0,0,1
Roswell,0,0,1,1,0,0,1
Schiller Park,0,1,0,1,0,1,0
Seabrook,0,1,0,1,0,1,0
Selma,1,0,0,1,1,0,0
Shallotte,0,1,0,1,0,1,0
Shelby,0,1,0,1,0,1,0
Shreveport,0,1,0,1,0,1,0
Singapore,1,0,0,1,1,0,0
Slidell,1,0,0,1,1,0,0
Socastee,0,0,1,1,0,0,1
Sound Beach,0,1,0,1,0,1,0
Spartanburg,0,1,0,1,0,1,0
Spokane,1,0,0,1,1,0,0
Spotsylvania Courthouse,0,1,0,1,0,1,0
Spring Hope,0,1,0,1,0,1,0
Sterling,1,0,0,1,1,0,0
Stockbridge,0,1,0,1,0,1,0
Stoneville,1,0,0,1,1,0,0
Sumter,1,0,0,1,1,0,0
Suwanee,1,0,0,1,1,0,0
Tel Aviv-Yafo,0,0,1,1,0,0,1
Texarkana,0,1,0,1,0,1,0
Tiberias,0,0,1,1,0,0,1
Totowa,0,1,0,1,0,1,0
Valley Center,0,1,0,1,0,1,0
Vandalia,1,0,0,1,1,0,0
Virgilina,0,1,0,1,0,1,0
Walterboro,0,0,1,1,0,0,1
Warrenton,1,0,0,1,1,0,0
Waterbury,0,1,0,1,0,1,0
Wautoma,0,1,0,1,0,1,0
Waynesville,0,1,0,1,0,1,0
West Lafayette,0,0,1,1,0,0,1
Wheaton-Glenmont,1,0,0,1,1,0,0
White Plains,0,0,1,1,0,0,1
Whitsett,0,0,1,1,0,0,1
Williamsburg,0,1,0,1,0,1,0
Woodfin,0,1,0,1,0,1,0
Woodstock,1,0,0,1,1,0,0
York,0,0,1,1,0,0,1
Yukon,1,0,0,1,1,0,0
